"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "joy_read" "pisa_difficulty" "competitiveness" "fear_failure" "resilience" "belonging" "bullied" "home_poss" "cult_poss" "edu_resources" "family_wealth" "ESCS_status" "teacher_support" "emo_sup" "math" "read" "scie"
"239" 5600183 0 1 1 4 0 -0.6278 0.2705 -0.5707 0.052 -0.8109 -0.4509 -0.7823 0.0572 -0.0809 0.0477 -0.1063 -0.0387 -0.4795 0.2127 522.973 486.521 438.199
"240" 5600214 0 1 1 1 1 -0.5972 0.2705 -0.2661 0.4637 -0.5176 -0.1939 -0.7823 -0.6661 -0.4961 -0.4903 -0.4707 -2.2216 -1.1481 -0.6576 464.095 456.285 393.327
"243" 5600154 1 1 0 6 0 -0.2584 -1.272 0.571 -1.059 1.1497 0.006 -0.7823 0.9156 0.7679 -0.1357 0.6171 1.2997 0.039 1.0346 704.944 600.329 690.142
"244" 5600073 0 1 1 4 0 0.4444 1.9717 -0.9792 -0.687 -0.9 0.165 -0.7823 2.4978 1.3903 1.1793 2.4682 0.4597 -1.1053 0.2127 572.505 498.819 474.146
"246" 5600240 0 1 1 4 0 -1.9715 0.7192 0.849 -1.1858 0.391 -0.4794 1.2618 0.8813 0.3939 -0.3487 1.6099 0.1879 -0.3882 -1.1847 551.269 558.487 556.471
"248" 5600001 0 1 1 6 0 0.8418 -0.4021 -0.2661 0.4637 0.7877 0.6818 -0.7823 0.2647 0.311 -0.1357 0.2122 0.7723 -0.013 0.3622 528.297 537.574 512.961
"249" 5600109 0 1 0 4 0 -0.1042 0.2705 -0.9792 -0.687 -0.144 -0.4509 -0.7823 -0.2132 -1.8696 1.1793 0.1948 -0.4246 -0.3673 -0.6576 461.588 413.778 441.758
"250" 5600272 1 1 0 6 0 -1.9715 0.7192 -1.3427 1.8905 -1.0042 0.3281 -0.7823 0.4395 0.6069 1.1793 -0.2181 -1.0864 -2.7106 1.0346 489.897 495.309 473.363
"251" 5600200 1 1 0 6 0 0.1499 -1.272 -0.733 -1.8939 0.523 0.9517 -0.7823 2.7774 1.8415 1.1793 2.2177 2.0969 -0.7074 -0.6576 654.174 638.254 580.397
"252" 5600070 0 1 0 6 0 -0.1738 0.2705 -0.5707 0.1097 -0.4684 -0.9675 -0.7823 0.3634 0.0181 -0.4903 0.3752 0.5917 -0.2023 -1.2947 559.118 488.27 538.03
