"id" "region" "type_city" "type_school" "fund1" "fund2" "fund3" "fund4" "info1" "info2" "info3" "requirement1" "requirement2" "valuation1" "valuation2" "exchange" "culture" "intercultural_experiences" "foreign_languages" "gender1" "gender2" "soc_eco_disadvantage" "num_grade" "computer_stud" "connection" "portable" "whiteboards" "projectors" "computer_teac" "teach_f1" "teach_p1" "teach_f2" "teach_p2" "teach_f3" "teach_p3" "teach_f4" "teach_p4" "teach_f5" "teach_p5" "class" "left" "language_lessons" "help1" "help2" "help3"
"66" 38000067 "Sardegna" "town" 0 80 1 0 19 "strongly disagree" "agree" "agree" "never" "sometimes" "mandatory" "no" 1 0 1 1 375 582 4 195 40 40 10 50 10 10 115 3 100 0 0 0 0 0 0 0 "21-25 students" 2 1 1 0 1
"67" 38000068 "Italy" "town" 0 30 10 0 60 "agree" "disagree" "agree" "sometimes" "sometimes" "school initiative" "no" 1 1 1 1 NA NA 10 NA 33 33 0 0 6 33 18 19 0 NA 11 4 0 0 0 0 "26-30 students" 4 0 0 0 0
"68" 38000069 "Bolzano" "city" 0 95 5 NA NA "agree" "agree" "agree" "sometimes" "always" "mandatory" "mandatory" 1 0 0 1 356 59 25 72 80 80 0 8 20 50 122 34 97 20 2 NA 97 26 4 NA "21-25 students" 20 1 1 0 0
"69" 38000070 "Sardegna" "city" 0 62 8 21 9 "disagree" "disagree" "agree" "never" "sometimes" "mandatory" "mandatory" 1 0 0 1 195 740 51 194 80 80 5 35 40 50 112 23 110 10 4 3 98 13 6 1 "16-20 students" 14 1 0 0 0
"70" 38000071 "Italy" "town" 1 0 100 0 0 "agree" "agree" "disagree" "always" "always" "school initiative" "no" 1 1 0 1 51 49 NA 15 6 6 2 2 2 6 NA NA 3 NA 35 NA 35 NA 3 NA "15 students or fewer" NA 1 1 1 1
"71" 38000072 "Sardegna" "small town" 0 60 10 0 30 "agree" "disagree" "disagree" "always" "sometimes" "school initiative" "no" 1 1 0 1 320 281 40 105 40 40 6 32 35 6 105 NA 90 NA NA NA 10 NA 2 NA "16-20 students" NA 0 1 1 0
"72" 38000073 "Italy" "small town" 1 80 10 0 10 "agree" "agree" "disagree" "always" "always" "mandatory" "mandatory" 0 0 0 1 139 150 5 52 20 20 20 2 4 20 30 6 15 1 1 1 17 4 0 1 "21-25 students" 4 0 1 1 1
"73" 38000074 "Sardegna" "small town" 0 70 30 0 NA "agree" "disagree" "disagree" "always" "sometimes" "mandatory" "no" 1 1 0 1 567 376 10 192 60 60 25 53 53 20 97 35 97 23 97 23 97 18 0 0 "16-20 students" 1 1 1 NA NA
"74" 38000075 "Sardegna" "town" 0 65 5 0 30 "agree" "agree" "agree" "always" "sometimes" "mandatory" "no" 1 1 1 1 352 381 5 160 90 90 30 35 40 90 75 3 75 NA 75 NA NA NA NA NA "16-20 students" 1 1 1 0 0
"75" 38000076 "Bolzano" "city" 0 90 10 NA NA "disagree" "agree" "disagree" "never" "never" "mandatory" "mandatory" 1 0 1 1 216 188 15 88 150 150 30 15 10 10 45 17 40 15 42 15 40 15 2 1 "16-20 students" 2 1 0 0 0
