"school_id";"gender";"language";"hisced";"grade_rep";"fear_failure";"belonging";"bullied";"home_poss";"cult_poss";"edu_resources";"family_wealth";"ESCS_status";"teacher_support";"emo_sup";"learn_time_math";"learn_time_read";"learn_time_scie";"math";"read";"scie";"class_size";"stud_teach_ratio";"short_edu_mat";"short_edu_staff";"stu_behav";"teach_behav";"teach_multicult"
75600017;1;2;5;0;-0.13;0.37;-0.7823;-0.4633;-1.8107;1.1793;-0.0669;-0.466;-1.1481;0.2169;300;300;350;553.021;500.225;477.7;18;13.2179;-0.6884;-0.614;-0.0956;-0.4289;0.9042
75600017;1;2;2;1;0.4637;0.3402;-0.7823;-1.5129;-1.8107;-1.3525;-0.9973;-1.9811;-0.74;-1.3914;270;270;135;617.106;594.844;617.015;18;13.2179;-0.6884;-0.614;-0.0956;-0.4289;0.9042
75600017;0;2;4;0;1.8905;-1.2062;-0.7823;0.7637;0.4863;0.0477;0.2388;0.4937;-1.2402;1.0346;270;270;180;687.333;617.883;608.356;18;13.2179;-0.6884;-0.614;-0.0956;-0.4289;0.9042
75600020;0;2;6;0;-0.6133;0.8964;-0.7823;1.3094;1.5156;1.1793;0.4929;1.4472;1.314;0.5029;135;135;45;530.81;576.55;529.98;23;13.4581;-0.3091;-0.5869;0.8153;-0.5488;-1.0542
75600020;0;2;5;0;-1.4869;0.5404;-0.7823;-0.2435;0.4769;-0.1357;-0.894;-0.5162;0.4522;-1.3914;80;80;160;539.251;607.244;638.931;23;13.4581;-0.3091;-0.5869;0.8153;-0.5488;-1.0542
75600020;1;2;3;0;0.9606;-1.2455;0.6725;-0.6353;-0.8414;-0.9302;-0.5588;-1.0645;-0.406;-0.9167;180;225;270;645.894;640.606;623.226;23;13.4581;-0.3091;-0.5869;0.8153;-0.5488;-1.0542
75600020;0;2;6;0;0.052;-0.357;-0.7823;-0.2558;-1.1969;-0.6853;-0.1843;0.6816;-0.6262;1.0346;135;225;315;601.355;576.744;576.803;23;13.4581;-0.3091;-0.5869;0.8153;-0.5488;-1.0542
75600020;0;2;6;0;0.4637;0.37;-0.7823;0.4891;1.075;-0.6853;-0.3603;0.9833;-0.4082;1.0346;180;225;180;653.027;667.182;622.629;23;13.4581;-0.3091;-0.5869;0.8153;-0.5488;-1.0542
75600021;1;2;2;1;-1.8939;0.3084;-0.7823;-1.0111;-1.8598;-0.6122;-0.4673;-1.7263;-0.9422;1.0346;225;180;90;448.829;483.479;455.703;18;9.76;0.8339;-0.3265;-0.4515;-1.2356;0.1329
75600021;0;2;3;1;-1.8939;0.6818;0.2907;-0.0631;0.1356;-0.6853;0.0997;-0.4447;-0.4883;1.0346;180;180;180;539.912;528.896;535.373;18;9.76;0.8339;-0.3265;-0.4515;-1.2356;0.1329
75600021;0;2;3;0;-1.8939;0.6818;0.7294;-0.6633;-0.6541;1.1793;-0.4181;-1.0029;0.3485;1.0346;135;90;135;488.471;478.336;482.247;18;9.76;0.8339;-0.3265;-0.4515;-1.2356;0.1329
75600021;0;2;6;0;-1.2792;0.6818;-0.7823;-1.0263;-0.6541;-0.6853;-0.6125;-2.1435;-0.9641;1.0346;135;90;135;478.805;466.272;459.649;18;9.76;0.8339;-0.3265;-0.4515;-1.2356;0.1329
75600021;1;2;5;1;0.8794;0.1889;-0.7823;-0.5183;-1.2227;-0.9779;0.0018;-1.4038;-0.3971;0.6364;180;180;120;523.855;437.742;455.708;18;9.76;0.8339;-0.3265;-0.4515;-1.2356;0.1329
75600021;0;2;5;0;-1.8939;2.7249;-0.7823;-0.7259;-0.6541;1.1793;-0.662;-0.853;1.314;1.0346;90;90;135;517.267;507.517;548.137;18;9.76;0.8339;-0.3265;-0.4515;-1.2356;0.1329
75600022;0;2;4;1;0.4637;-0.6693;0.2907;0.8633;1.5465;-0.1357;0.1879;-0.381;1.314;-1.3914;180;135;135;556.658;670.948;588.656;23;11.2813;-1.4212;-1.4551;-0.0384;-0.1695;0.9042
75600022;0;3;4;0;0.8794;0.0441;0.2907;0.1634;0.7199;1.1793;-1.0753;-0.2653;-0.9306;0.6402;250;150;200;473.566;495.077;473.582;23;11.2813;-1.4212;-1.4551;-0.0384;-0.1695;0.9042
75600022;1;3;2;0;0.1097;-0.0939;0.2907;-0.0475;-0.7888;1.1793;-0.0958;-1.3236;-1.0628;-1.1847;180;90;90;488.311;490.108;466.975;23;11.2813;-1.4212;-1.4551;-0.0384;-0.1695;0.9042
75600022;1;2;5;0;-0.2006;0.1935;0.2907;0.6484;0.495;-0.6122;0.7619;0.7255;0.0483;0.2169;180;135;270;509.06;455.629;444.222;23;11.2813;-1.4212;-1.4551;-0.0384;-0.1695;0.9042
75600024;1;2;5;0;-0.2006;0.4503;0.1462;-0.3735;0.4816;-0.4903;-0.1228;-0.5046;-0.9422;-1.1847;180;90;180;557.162;538.645;507.736;18;9.4667;-0.6884;0.43;-0.0384;0.2266;-1.4355
75600024;1;2;5;0;-0.687;0.9683;-0.7823;-0.2019;-0.7888;0.0477;0.451;0.3656;1.314;-0.6576;200;100;0;505.155;526.694;521.449;18;9.4667;-0.6884;0.43;-0.0384;0.2266;-1.4355
75600024;0;2;4;0;-0.687;0.3241;-0.7823;0.5085;0.4816;-0.1357;0.3909;0.2685;0.1694;1.0346;225;90;900;604.704;546.215;541.769;18;9.4667;-0.6884;0.43;-0.0384;0.2266;-1.4355
75600024;1;2;4;0;0.4637;-0.5635;1.5346;0.0515;0.6233;1.1793;0.0426;-0.1632;0.481;-0.6576;200;100;0;561.818;457.739;504.427;18;9.4667;-0.6884;0.43;-0.0384;0.2266;-1.4355
75600024;1;2;5;0;-0.687;0.3241;-0.7823;0.91;0.9244;-0.4903;0.897;0.0066;-0.2023;-1.5824;180;90;0;565.852;427.932;462.189;18;9.4667;-0.6884;0.43;-0.0384;0.2266;-1.4355
75600024;1;2;5;0;-0.9295;-0.7587;0.8615;-0.0078;-0.6541;0.031;0.8001;-0.4677;-1.1481;-1.3939;180;90;0;460.785;464.399;502.897;18;9.4667;-0.6884;0.43;-0.0384;0.2266;-1.4355
75600025;0;3;6;0;-1.0109;0.1008;0.2907;2.6955;1.1953;1.1793;1.7936;2.1278;-0.7366;0.2127;160;160;80;525.315;490.229;583.815;13;7.1467;-1.4212;-1.4551;-0.0384;-0.1662;0.9042
75600025;0;2;1;0;-0.0845;0.3241;-0.7823;-0.2469;-0.0244;1.1793;-0.666;-1.0161;-0.858;-0.6576;320;320;480;431.631;465.743;416.103;13;7.1467;-1.4212;-1.4551;-0.0384;-0.1662;0.9042
75600026;1;2;6;0;0.8207;1.4326;0.8233;0.8652;0.495;-0.1357;0.5326;1.0777;-0.5973;1.0346;45;45;45;671.555;675.86;680.192;18;12.9039;-0.2692;0.1757;-0.0384;0.2266;-1.0542
75600026;0;2;5;0;-0.687;0.7356;-0.7823;-0.6647;0.4765;-0.1357;-0.8566;-0.3349;0.4394;-1.0657;180;360;0;478.212;489.412;453.072;18;12.9039;-0.2692;0.1757;-0.0384;0.2266;-1.0542
75600026;1;2;5;0;-0.13;-0.3184;0.2907;0.1327;0.1528;-0.1357;0.5953;0.2536;-0.2023;-0.6576;270;135;0;491.998;513.01;555.081;18;12.9039;-0.2692;0.1757;-0.0384;0.2266;-1.0542
75600026;0;2;6;0;-0.729;0.3241;-0.7823;0.5537;-0.0244;1.1793;0.7902;1.1248;-0.2023;-1.2947;120;0;240;514.075;456.524;342.138;18;12.9039;-0.2692;0.1757;-0.0384;0.2266;-1.0542
75600026;1;3;5;0;-1.8939;2.7249;-0.7823;-0.5073;0.15;1.1793;-0.9246;-0.3764;1.314;0.3622;150;0;150;304.71;378.83;364.043;18;12.9039;-0.2692;0.1757;-0.0384;0.2266;-1.0542
75600027;1;2;3;0;-1.8939;1.9816;-0.7823;1.3346;1.075;1.1793;1.1282;0.1311;-0.3673;1.0346;270;270;135;582.356;537.766;529.331;18;14.1784;2.1861;2.0976;2.3697;1.4895;-1.0542
