"school_id";"gender";"language";"hisced";"grade_rep";"fear_failure";"belonging";"bullied";"home_poss";"cult_poss";"edu_resources";"family_wealth";"ESCS_status";"teacher_support";"emo_sup";"learn_time_math";"learn_time_read";"learn_time_scie";"math";"read";"scie";"class_size";"short_edu_mat";"short_edu_staff";"stu_behav";"teach_behav"
4000160;0;2;5;0;1.0944;0.9423;0.2907;0.6641;0.3676;1.1793;0.7366;0.485;0.039;1.0346;100;150;150;504.772;596.609;564.448;28;-0.6884;1.1525;0.4781;0.2266
4000160;1;2;4;0;-1.8939;-0.1843;0.2907;-0.0614;0.6411;1.1793;-0.4124;-0.4435;0.0703;0.6364;100;150;200;476.137;447.135;423.652;28;-0.6884;1.1525;0.4781;0.2266
4000160;0;2;2;0;-1.4242;0.9423;-0.7823;-0.1919;-0.0367;1.1793;-0.1085;-0.4271;-0.1206;1.0346;100;150;100;459.333;517.242;519.146;28;-0.6884;1.1525;0.4781;0.2266
4000161;0;2;3;0;1.8905;0.9683;-0.7823;-0.1904;-1.2648;1.1793;-0.0441;-1.0561;1.314;1.0346;150;150;100;521.633;531.037;566.514;28;1.2478;-0.6465;-0.4515;-0.1662
4000161;1;2;6;0;0.1097;0.9782;3.8591;1.0308;1.8303;1.1793;0.0795;0.9893;0.385;-0.9122;150;150;100;624.094;501.171;593.401;28;1.2478;-0.6465;-0.4515;-0.1662
4000161;1;2;2;1;-1.8939;0.4951;0.7703;-0.3588;-0.7725;1.1793;-0.2998;-1.3547;1.314;0.0116;150;150;400;431.803;444.826;454.266;28;1.2478;-0.6465;-0.4515;-0.1662
4000162;1;2;6;0;-1.8939;2.7249;0.2907;-1.0552;-1.8538;-2.8259;0.3018;-0.5516;-0.4267;0.5029;150;150;100;359.291;328.836;334.17;18;-1.4212;0.4214;1.7704;-0.5079
4000162;1;0;5;0;-1.059;-0.6201;-0.7823;-0.5926;0.3158;-0.3487;-0.71;-0.5963;1.314;-0.6576;165;110;110;372.77;384.667;434.413;18;-1.4212;0.4214;1.7704;-0.5079
4000162;1;2;3;0;0.4637;0.4666;-0.7823;0.0468;0.5027;0.0477;0.0343;-0.5493;0.039;0.6364;150;150;100;319.133;351.979;329.35;18;-1.4212;0.4214;1.7704;-0.5079
4000163;0;0;3;0;1.8905;-0.0649;-0.7823;0.3906;0.6411;-0.6122;0.412;-0.1945;-1.1481;0.2127;100;150;250;512.39;557.93;558.523;33;1.4743;-1.8617;-0.1522;0.6636
4000163;0;0;1;0;0.1097;-1.5863;2.0604;1.8896;1.8303;1.1793;1.5226;-1.0475;-2.1007;0.5029;100;150;100;554.394;582.551;545.581;33;1.4743;-1.8617;-0.1522;0.6636
4000164;1;2;3;1;0.4637;-1.1484;0.2907;-0.4588;0.0491;0.0477;-0.5116;-1.1602;1.314;-0.67;220;220;110;266.263;274.406;278.678;18;0.4698;1.1696;2.0762;0.2266
4000164;1;2;4;1;-0.4342;-0.2814;-0.7823;0.3116;1.8303;1.1793;-0.7204;-0.6636;1.314;1.0346;200;200;100;439.537;363.869;361.918;18;0.4698;1.1696;2.0762;0.2266
4000166;0;3;6;0;-0.13;0.6818;-0.7823;0.1759;0.5027;0.0477;0.0972;-0.1585;-0.3584;0.5029;385;275;220;250.315;342.555;308.182;18;0.6606;0.9573;1.4948;0.6101
