"school_id";"gender";"immigration";"language";"hisced";"grade_rep";"fear_failure";"belonging";"bullied";"home_poss";"cult_poss";"edu_resources";"family_wealth";"ESCS_status";"teacher_support";"emo_sup";"learn_time_math";"learn_time_read";"learn_time_scie";"math";"read";"scie";"class_size";"stud_teach_ratio";"short_edu_mat";"short_edu_staff";"stu_behav";"teach_behav"
44200005;1;3;2;6;0;-1.8939;-0.8575;-0.7823;-0.2074;-0.1588;1.1793;-0.8106;0.7919;-0.3673;-1.3914;270;180;270;643.211;588.961;547.367;28;10.2828;-0.5953;0.4554;-0.1493;0.2266
44200005;1;3;2;6;0;-0.13;-0.3184;0.7703;2.011;1.4029;-0.1357;1.6573;1.6409;0.7628;-1.1817;270;180;270;606.079;698.836;652.458;28;10.2828;-0.5953;0.4554;-0.1493;0.2266
44200006;1;2;2;6;0;-0.7592;-0.8632;-0.7823;0.0819;0.0871;-1.3099;0.5336;0.9278;0.7015;-1.58;210;210;350;569.689;618.238;607.273;13;9.5185;-0.5939;-1.5765;-1.9698;-2.0409
44200006;0;2;2;6;0;-0.0288;0.1837;0.2907;0.7235;0.1864;1.1793;0.779;1.118;0.7015;-0.6576;165;220;275;622.29;597.252;580.721;13;9.5185;-0.5939;-1.5765;-1.9698;-2.0409
44200006;1;3;2;6;0;-1.2792;-0.4509;0.8615;1.7347;1.5766;0.0477;0.7453;1.7754;-0.3971;0.6402;165;220;275;700.874;771.888;656.477;13;9.5185;-0.5939;-1.5765;-1.9698;-2.0409
44200006;0;3;2;6;1;0.4637;0.0928;0.2308;1.7752;1.112;-0.2116;2.3399;1.5108;0.385;0.5029;165;220;275;531.239;490.81;484.813;13;9.5185;-0.5939;-1.5765;-1.9698;-2.0409
44200006;0;3;2;6;1;1.8905;-0.6501;0.2907;2.278;1.182;1.1793;1.9732;1.7539;-0.7074;1.0346;165;220;275;524.899;601.456;503.202;13;9.5185;-0.5939;-1.5765;-1.9698;-2.0409
44200006;0;3;3;6;0;0.4637;-0.3184;0.2907;1.1881;0.5668;1.1793;0.5899;1.3959;0.1597;1.0346;165;220;275;616.19;640.3;716.226;13;9.5185;-0.5939;-1.5765;-1.9698;-2.0409
44200006;0;3;3;6;0;-0.3799;0.0348;0.1462;0.6362;0.9816;0.0477;-0.0574;1.1624;-0.2023;1.0346;165;220;275;559.86;556.76;565.686;13;9.5185;-0.5939;-1.5765;-1.9698;-2.0409
44200006;1;2;2;6;0;-1.4869;-0.0845;0.7703;-0.1463;-0.0307;1.1793;-0.3502;0.7279;-0.5197;1.0346;165;165;330;466.703;471.498;431.066;13;9.5185;-0.5939;-1.5765;-1.9698;-2.0409
44200006;1;3;3;6;0;1.8905;-0.3184;0.2308;1.6968;1.5766;1.1793;1.0629;1.5079;0.3995;-1.2947;165;220;275;680.818;638.819;647.832;13;9.5185;-0.5939;-1.5765;-1.9698;-2.0409
44200006;1;3;2;5;0;1.8905;-1.3831;1.5082;1.5319;0.6676;1.1793;1.4026;1.1194;-1.1053;-1.58;165;220;275;510.538;571.931;488.149;13;9.5185;-0.5939;-1.5765;-1.9698;-2.0409
44200006;0;3;3;6;0;1.8905;-0.6693;-0.7823;0.1481;0.1864;-0.4903;0.0665;0.8085;1.314;-1.3939;165;220;220;543.675;529.355;534.165;13;9.5185;-0.5939;-1.5765;-1.9698;-2.0409
44200006;0;3;2;6;0;1.8905;-0.1843;1.5082;0.4228;-0.0787;-0.3487;0.5759;0.8904;-1.3684;-0.6576;165;220;275;616.786;626.818;627.115;13;9.5185;-0.5939;-1.5765;-1.9698;-2.0409
44200006;1;2;3;6;0;-1.8939;-1.1537;0.6725;1.572;0.5668;1.1793;1.1439;1.474;0.7015;-1.3914;165;220;275;692.652;618.128;602.661;13;9.5185;-0.5939;-1.5765;-1.9698;-2.0409
44200006;0;3;2;6;0;-1.4869;1.4685;-0.7823;1.7622;1.5766;1.1793;0.629;1.5545;0.385;1.0346;165;220;275;724.503;621.53;623.153;13;9.5185;-0.5939;-1.5765;-1.9698;-2.0409
44200006;1;2;2;6;0;1.8905;0.4152;2.4601;1.1153;0.471;1.1793;0.6144;1.2807;0.1274;1.0346;165;220;275;483.856;583.269;567.351;13;9.5185;-0.5939;-1.5765;-1.9698;-2.0409
44200006;1;3;2;6;0;-1.4869;-0.3184;-0.7823;1.0813;0.5668;-0.1357;0.9448;1.0341;0.7628;-0.6439;165;165;275;702.651;649.407;694.079;13;9.5185;-0.5939;-1.5765;-1.9698;-2.0409
44200006;0;2;3;6;0;1.1422;-0.1642;-0.7823;1.2328;1.5766;0.0477;0.7054;1.3116;0.7015;-1.1817;165;220;275;691.243;682.033;643.532;13;9.5185;-0.5939;-1.5765;-1.9698;-2.0409
44200006;0;3;2;6;0;-0.1748;-0.0692;-0.7823;3.5117;1.5766;1.1793;2.9662;2.0761;-0.7857;1.0346;275;220;275;618.375;644.456;555.994;13;9.5185;-0.5939;-1.5765;-1.9698;-2.0409
