"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "joy_read" "pisa_difficulty" "competitiveness" "fear_failure" "resilience" "belonging" "bullied" "home_poss" "cult_poss" "edu_resources" "family_wealth" "ESCS_status" "teacher_support" "emo_sup" "learn_time_math" "learn_time_read" "learn_time_scie" "math" "read" "scie"
"71" 75200159 0 3 853 4 1 0.3252 0.2705 0.1956 NA -0.4684 -0.4415 NA -0.2235 -0.0465 -0.6853 -0.0336 -0.907 -1.0726 -0.6576 NA NA NA 364.014 341.777 397.272
"72" 75200115 0 1 494 6 0 -1.6062 1.2958 -0.9792 0.5949 -0.5176 0.9683 -0.7823 1.1136 0.7639 1.1793 0.8337 1.1828 -0.3374 1.0346 120 80 80 415.758 489.539 442.522
"73" 75200228 1 2 853 5 0 0.0127 -1.272 0.6314 -0.9823 2.3693 NA NA -0.0956 0.0528 1.1793 -0.0452 -0.422 -0.2023 NA NA NA NA 575.52 518.042 500.451
"74" 75200130 1 1 494 6 0 -1.1538 0.2705 -0.2661 -1.4869 -0.0614 0.0348 0.2907 0.5095 1.0089 -0.1357 0.1179 0.9895 -0.2023 0.2169 150 150 150 613.959 528.588 621.603
"75" 75200041 0 1 494 6 0 0.8628 -0.8863 0.1956 1.8905 -1.0445 -0.6843 -0.7823 1.2319 1.6414 1.1793 0.2277 1.4236 0.7015 0.2169 120 120 120 627.279 706.232 665.293
"76" 75200166 1 1 494 6 0 -0.0052 -0.4021 1.1811 1.0671 -1.3189 -0.3485 1.1625 1.5359 1.6414 0.1806 1.1004 1.4238 0.1694 0.2169 180 180 240 679.249 689.272 706.674
"77" 75200076 0 1 494 6 0 0.5385 -1.272 1.2643 1.8905 -1.9584 2.7249 -0.7823 1.1211 1.0639 1.1793 0.4485 1.2831 0.6259 1.0346 NA NA NA 556.394 601.743 587.248
"78" 75200020 1 2 853 4 0 -0.9016 0.8232 -0.5707 -0.687 -0.0614 -1.186 -0.7823 -0.8142 -1.8427 -0.8243 -0.0627 -0.61 -0.1605 -0.6576 200 150 150 505.9 488.864 539.565
"79" 75200172 1 1 494 6 0 0.5046 0.2705 0.1956 -0.687 -0.0614 -0.3184 -0.7823 0.069 -0.0465 0.1806 0.0089 0.216 0.039 -1.1847 300 240 180 541.372 504.74 470.369
"80" 75200026 1 1 494 6 0 -1.0322 -1.272 -0.9792 -1.8939 2.3693 2.7249 -0.7823 0.1925 -0.4983 -0.6853 0.7894 0.9936 1.314 1.0346 180 180 180 419.346 362.008 510.747
"81" 75200096 0 1 853 6 0 -0.4556 0.2705 0.1956 0.4637 -0.0614 0.6818 -0.7823 1.6987 0.8129 1.1793 2.527 1.5764 -0.2023 -0.6576 195 195 195 483.871 581.877 569.482
"82" 75200160 1 1 494 6 0 -0.2008 0.7192 0.1956 -0.687 0.4152 2.7249 -0.7823 1.045 0.8508 0.0477 1.0225 1.1538 0.7015 1.0346 195 195 130 563.51 469.745 556.697
"83" 75200104 0 1 494 6 0 0.1298 -0.4021 -0.5707 0.1097 -1.4906 0.2342 -0.7823 0.4039 0.2206 -0.3792 0.8476 0.5035 0.1597 -0.6576 220 165 330 492.322 534.511 465.223
"84" 75200210 1 1 494 5 0 -2.7114 -0.6451 2.0054 -1.1858 -0.1433 0.1935 0.8233 -0.1236 -0.4983 -1.0118 0.5086 0.497 0.1924 0.2169 210 NA 210 490.882 474.554 497.254
"85" 75200026 1 1 494 6 0 -1.0555 1.1904 1.1811 0.5949 1.0885 -0.0845 -0.7823 -0.8257 -1.2382 -0.9386 -0.2586 -0.2257 -0.5575 1.0346 130 260 325 387.254 310.525 390.383
"86" 75200137 0 1 494 NA 0 -0.9016 -0.6346 0.3709 0.1097 0.3864 0.6987 -0.7823 -0.951 -1.8427 0.0477 -0.3733 NA 1.314 -0.6576 NA NA NA 389.826 465.15 355.387
"87" 75200182 0 1 494 6 0 -2.7114 0.7192 2.0054 0.4637 -0.8109 0.6818 -0.7823 1.0216 0.2363 -0.3487 1.7266 0.695 0.3485 -0.6576 240 180 180 662.325 596.008 643.847
"88" 75200051 1 NA 500 6 0 1.2316 0.2705 0.1956 -0.687 2.3281 -0.0509 -0.7823 -0.6639 0.1566 -1.1123 -0.5777 0.7227 1.314 -0.6576 165 220 220 321.879 308.83 450.877
"89" 75200074 1 3 853 6 0 0.5935 -0.4021 -0.5707 0.052 NA NA NA 0.3758 0.1397 -0.1357 0.1585 0.9677 1.314 NA NA NA NA 603.131 538.51 629.394
"90" 75200017 0 1 494 4 0 2.6131 -0.8863 0.4978 0.0208 -0.5818 -0.6659 -0.7823 0.8107 1.3363 -0.4903 0.5615 -0.0632 0.7015 -1.3914 160 160 160 655.278 680.802 613.599
"91" 75200095 0 1 494 6 0 -0.4556 1.1904 -0.9792 0.1097 -0.7906 0.6818 -0.7823 1.572 1.6414 0.7604 1.0822 1.4416 0.6259 -0.6576 150 100 150 477.708 487.491 438.228
"92" 75200170 0 NA 494 6 0 -0.8176 0.2705 -0.5707 -0.3799 -0.7737 -0.1939 -0.7823 2.1262 1.6414 1.1793 1.3578 1.7841 -2.7106 1.0346 180 180 180 528.31 571.477 543.377
"93" 75200135 0 1 494 6 0 -1.9715 -0.7816 -0.9372 1.8905 -1.9677 -0.7908 -0.7823 0.0478 -0.5849 -0.8243 1.1352 0.7148 0.3485 1.0346 240 120 60 419.342 457.778 437.522
"94" 75200073 1 1 494 6 0 -0.2704 -0.2888 -0.0326 -0.2718 -1.9443 -0.8186 -0.7823 0.3556 0.2363 -1.3216 0.5556 0.862 -0.0037 -1.3939 240 300 240 588.275 601.041 591.522
"95" 75200216 1 3 853 6 1 -0.3571 0.8232 NA NA NA NA NA -1.9572 -1.8427 -0.9649 -1.7848 -1.153 -0.0348 NA NA NA NA 421.463 345.572 361.385
"96" 75200089 1 1 494 6 0 -0.3008 1.9717 -2.345 -1.1858 -0.0614 0.6818 -0.7823 0.4287 -0.2025 0.0477 1.8335 0.4492 -1.1481 1.0346 180 180 180 448.706 305.03 409.872
"97" 75200069 1 1 494 6 0 -0.8317 0.2705 -0.5707 0.4637 -0.0614 -0.3184 0.2907 0.6269 0.0983 0.0477 1.3393 1.0552 -0.3673 -0.6576 360 360 360 488.652 443.061 443.697
"98" 75200196 0 1 494 6 0 -0.9873 -0.8863 0.7871 0.4637 2.3693 -0.2649 -0.7823 -0.1546 0.0528 0.0477 -0.3922 0.7549 0.1924 1.0346 180 120 180 520.129 543.985 592.955
"99" 75200015 1 1 494 6 0 0.2641 0.2705 NA 0.4637 -0.0614 -0.9879 1.1625 1.3126 1.1527 1.1793 0.8476 1.5341 1.314 1.0346 180 180 180 489.082 464.105 443.055
"100" 75200114 1 1 853 6 0 -1.9715 -0.4021 0.1956 -1.1858 1.0615 2.7249 -0.7823 0.4074 -0.455 0.2646 1.2107 -1.5013 -1.3345 1.0346 225 300 225 554.821 437.526 559.598
"101" 75200077 0 1 494 6 0 0.2694 0.2705 -0.5707 1.8905 -1.7622 -0.3184 NA 1.1369 1.6414 -0.6853 0.5393 1.2407 -0.3673 NA NA NA NA 584.79 596.072 616.163
"102" 75200024 0 1 494 3 0 -1.3158 1.1069 -0.5707 0.052 0.3444 -0.0358 -0.7823 0.5739 0.403 1.1793 0.8098 -0.4606 0.385 1.0346 150 150 150 535.681 516.386 510.438
"103" 75200175 0 1 494 5 0 -0.7029 2.21 0.1244 0.8207 -0.7993 -0.7499 0.7703 0.3161 -0.2671 1.1793 0.4262 -0.3431 -0.4377 0.6364 180 135 180 437.57 453.604 446.295
"104" 75200073 1 2 420 5 0 0.8418 0.2705 0.7871 0.4637 -1.0583 -0.0633 0.7703 0.291 -1.2382 0.2646 0.8084 0.6712 0.4522 -0.6576 240 300 180 527.58 634.012 607.785
"105" 75200072 1 1 494 3 0 0.3568 1.6524 -0.9792 -0.687 -0.5176 -0.3184 -0.7823 -0.0703 0.0528 0.0477 -0.3532 -0.8121 0.7015 1.0346 180 180 180 512.396 513.23 433.495
"106" 75200007 1 1 494 6 0 -0.6483 -1.272 -0.8014 -1.8939 2.3693 0.705 -0.7823 -0.0729 -0.3238 -0.4396 0.3601 0.8662 -1.1481 1.0346 225 225 225 578.755 567.429 474.896
"107" 75200124 1 1 494 6 0 -0.2857 0.2705 -0.2047 0.1097 -0.0614 -0.4509 -0.7823 -0.4289 -1.2382 -0.8243 -9e-04 -0.211 -0.5197 -0.6576 150 150 200 572.046 522.987 594.113
"108" 75200145 1 1 494 6 0 0.3171 -1.272 1.2643 0.052 -0.0614 0.6818 0.7703 1.1818 0.8508 0.0477 1.1729 1.1604 0.7015 1.0346 180 180 180 655.642 620.312 635.751
"109" 75200162 0 1 494 6 0 -0.0996 0.2705 0.3709 -0.13 -0.5176 -0.4415 0.2907 0.217 0.5278 -1.0118 0.1677 0.5948 -0.0037 0.6402 195 195 195 481.666 638.069 538.975
"110" 75200210 0 1 494 6 0 0.7942 -0.0545 0.7262 0.4637 0.7877 -0.0924 -0.7823 0.9959 0.4551 1.1793 0.8367 1.4085 -0.2023 1.0346 160 160 160 571.625 574.744 517.767
"111" 75200005 1 1 494 6 0 -0.4754 0.2705 -0.357 0.8207 -1.0583 -1.186 1.2618 0.5837 -0.1364 -0.6122 1.3882 1.1493 -0.1605 -0.6576 150 150 150 540.73 526.996 573.29
"112" 75200098 1 1 494 5 0 -0.4423 0.7192 0.7871 -0.4342 -0.5989 0.6818 0.2907 -0.0245 0.1926 0.2646 -0.2347 0.5255 0.481 1.0346 180 180 180 500.257 478.362 513.82
"113" 75200043 1 3 156 6 0 0.2641 3.0064 2.0054 1.8905 2.3693 -1.2605 -0.7823 5.4814 1.6414 1.1793 4.7534 3.3611 1.314 1.0346 600 600 600 496.293 440.355 547.191
"114" 75200159 1 3 853 2 0 -0.3875 1.6524 -0.4112 0.4637 -0.4909 -0.6693 1.1625 -1.1467 -1.8427 -1.8873 -0.2508 -1.9441 1.314 -1.1847 240 240 240 394.492 367.156 364.879
"115" 75200135 0 1 494 4 0 -1.0279 0.5206 2.0054 -0.6133 -1.7018 0.9587 NA -0.0351 -0.8586 -0.4396 0.2962 -0.7972 1.314 0.6402 195 NA 195 461.942 519.119 406.819
"116" 75200165 1 3 494 6 0 -0.134 0.2705 -0.733 1.8905 -0.0415 -0.5582 NA 0.3797 -0.0465 1.1793 0.5189 1.1241 0.0181 NA NA NA NA 573.35 605.012 543.608
"117" 75200167 0 1 494 6 0 1.0781 -1.272 0.7871 -0.13 0.3444 -0.3076 -0.7823 1.3145 1.6414 -0.1357 0.4937 1.4586 0.7015 1.0346 220 165 165 547.059 575.634 548.732
"118" 75200060 0 1 494 6 0 2.6131 -1.272 -1.7664 0.052 0.4398 1.4685 0.1462 1.1244 1.6414 1.1793 0.0484 1.3973 1.314 0.6402 220 165 165 559.467 659.215 548.716
"119" 75200163 1 1 494 6 0 -0.7215 0.7192 -0.6151 -1.8939 1.1262 0.6818 -0.7823 1.205 0.3536 1.1793 1.2737 1.4315 1.314 0.6402 195 195 260 449.059 430.22 438.755
"120" 75200191 1 2 494 3 0 -1.352 0.2705 2.0054 0.4637 -0.0614 -0.3184 0.2907 -0.1582 -0.2025 1.1793 -0.2067 0.1493 -0.0037 -1.2947 200 200 200 588.502 571.244 530.547
