"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "fear_failure" "belonging" "bullied" "home_poss" "cult_poss" "edu_resources" "family_wealth" "ESCS_status" "teacher_support" "emo_sup" "school_changes" "learn_time_math" "learn_time_read" "learn_time_scie" "math" "read" "scie" "class_size" "stud_teach_ratio" "short_edu_mat" "short_edu_staff" "stu_behav" "teach_behav"
"178" 5600006 1 1 0 6 0 -0.4342 -0.9962 -0.7823 0.8348 0.6302 1.1793 0.561 0.7912 -1.1481 -0.6576 0 300 200 300 616.27 521.337 535.091 13 5.205 0.4292 1.0815 1.3327 1.3977
"179" 5600006 1 1 0 4 0 -0.4342 0.6818 -0.7823 -0.8073 -1.8696 1.1793 -0.8107 -1.0487 -0.6262 -1.0657 0 300 200 550 606.337 543.685 647.841 13 5.205 0.4292 1.0815 1.3327 1.3977
"182" 5600006 1 1 1 4 1 -0.9823 0.6738 0.2907 1.464 1.8415 1.1793 0.5198 -0.0923 -0.1512 -1.0657 0 200 200 50 460.427 391.337 459.102 13 5.205 0.4292 1.0815 1.3327 1.3977
"183" 5600006 1 1 0 6 0 -0.4342 0.9423 -0.7823 0.4117 -0.0809 1.1793 0.401 0.82 -1.5447 0.2169 0 300 200 450 674.673 579.511 617.945 13 5.205 0.4292 1.0815 1.3327 1.3977
"184" 5600006 1 1 1 6 0 -1.8939 0.1935 -0.7823 -0.0406 -0.893 1.1793 0.3746 0.8334 -0.8065 1.0346 0 250 200 100 565.724 561.067 577.216 13 5.205 0.4292 1.0815 1.3327 1.3977
"185" 5600006 1 1 0 3 0 -0.3799 -0.5891 -0.7823 -0.0303 -0.1552 1.1793 -0.1344 -0.1129 -0.9734 -0.6576 2 250 200 0 480.75 466.168 520.893 13 5.205 0.4292 1.0815 1.3327 1.3977
"189" 5600006 1 1 1 6 1 1.8905 0.0498 0.2907 0.0476 -1.8696 0.1806 0.8788 0.1622 1.314 -0.6576 0 250 200 100 475.725 450.276 516.338 13 5.205 0.4292 1.0815 1.3327 1.3977
"222" 5600008 1 2 3 6 1 -0.4342 -0.3184 1.2327 0.2573 -0.2704 -1.0118 1.1108 0.9207 -0.2023 -0.6576 0 200 200 150 526.076 449.784 487.81 23 13.3333 -1.4212 -1.4551 0.7754 0.8468
"223" 5600008 1 1 1 5 0 0.4637 -0.3184 1.2618 -0.0178 -0.893 -0.4903 0.6752 -0.0711 -0.3971 1.0346 0 250 200 350 621.189 544.524 568.218 23 13.3333 -1.4212 -1.4551 0.7754 0.8468
"224" 5600008 1 1 0 6 0 -0.3799 0.3241 -0.7823 0.6406 -0.2704 1.1793 0.561 1.1682 -0.7366 1.0346 0 250 250 150 636.659 636.823 625.873 23 13.3333 -1.4212 -1.4551 0.7754 0.8468
"225" 5600008 0 1 0 6 0 -0.687 -0.0939 0.2907 1.2303 1.8415 1.1793 0.3597 1.1809 -0.6298 -1.0657 0 250 200 150 680.887 721.736 741.148 23 13.3333 -1.4212 -1.4551 0.7754 0.8468
"226" 5600008 0 1 0 4 0 -1.0109 0.9423 -0.7823 0.2745 -0.5946 0.0477 0.4954 -0.4703 0.4394 -1.1847 0 250 250 300 694.418 751.263 657.716 23 13.3333 -1.4212 -1.4551 0.7754 0.8468
"227" 5600008 0 1 0 4 0 -0.3799 0.9423 -0.7823 0.7278 0.6026 1.1793 0.729 -0.5336 -0.5575 1.0346 0 250 200 300 459.634 505.22 554.539 23 13.3333 -1.4212 -1.4551 0.7754 0.8468
"228" 5600008 0 1 0 6 0 -0.687 0.6818 -0.7823 -0.1079 0.6026 -0.1357 -0.7255 0.1619 -0.1206 0.3622 0 250 200 150 689.083 662.781 629.237 23 13.3333 -1.4212 -1.4551 0.7754 0.8468
"229" 5600008 0 1 0 6 0 0.4637 -0.3184 0.7703 1.0582 0.3668 1.1793 0.8196 1.4892 1.314 0.5029 0 200 200 150 613.623 583.041 612.102 23 13.3333 -1.4212 -1.4551 0.7754 0.8468
"230" 5600008 1 1 0 4 0 -0.687 -1.0194 0.7703 0.5803 0.0879 1.1793 0.1794 0.3871 -0.2023 -0.6576 1 250 250 200 558.132 539.415 586.719 23 13.3333 -1.4212 -1.4551 0.7754 0.8468
