"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "fear_failure" "belonging" "bullied" "ESCS_status" "teacher_support" "emo_sup" "learn_time_math" "learn_time_read" "learn_time_scie" "math" "read" "scie" "class_size" "stud_teach_ratio" "short_edu_mat" "short_edu_staff" "stu_behav" "teach_behav" "teach_multicult" "private"
"145" 75600005 1 1 2 6 0 0.8207 2.7249 0.2308 1.2038 -2.1621 -1.7696 180 180 90 400.655 346.451 387.728 23 11.0741 -0.2488 0.1825 -0.6823 0.2266 -1.0542 "public"
"147" 75600005 0 1 0 3 0 -0.1748 0.6818 1.1625 0.2338 -0.1605 1.0346 180 180 90 420.234 522.071 439.181 23 11.0741 -0.2488 0.1825 -0.6823 0.2266 -1.0542 "public"
"148" 75600005 0 1 0 5 0 -0.687 -1.0523 1.5082 0.4062 -1.415 -0.6576 180 180 90 410.308 413.6 433.051 23 11.0741 -0.2488 0.1825 -0.6823 0.2266 -1.0542 "public"
"150" 75600005 1 2 3 5 0 -0.0845 0.705 -0.7823 0.5243 -1.0051 1.0346 270 180 90 463.241 282.637 438.785 23 11.0741 -0.2488 0.1825 -0.6823 0.2266 -1.0542 "public"
"151" 75600005 1 3 3 2 0 -0.5311 -1.186 2.07 -1.7601 0.1694 -0.6576 480 600 240 355.24 271.906 365.973 23 11.0741 -0.2488 0.1825 -0.6823 0.2266 -1.0542 "public"
"153" 75600005 0 1 0 6 1 -0.9295 -0.1769 2.8415 1.1003 -1.555 0.3622 180 180 135 464.88 272.452 305.744 23 11.0741 -0.2488 0.1825 -0.6823 0.2266 -1.0542 "public"
"155" 75600005 1 1 0 6 0 -0.687 -0.8273 0.2308 0.2024 -1.1481 -1.5824 270 225 90 428.454 335.292 335.625 23 11.0741 -0.2488 0.1825 -0.6823 0.2266 -1.0542 "public"
"158" 75600005 1 1 0 2 0 -0.4342 -1.186 -0.7823 -1.5159 -2.7106 1.0346 225 180 90 454.669 370.79 441.744 23 11.0741 -0.2488 0.1825 -0.6823 0.2266 -1.0542 "public"
"191" 75600007 1 3 2 5 1 0.8207 -1.4001 1.2327 -0.5696 -0.9734 -0.9167 570 665 285 467.026 457.631 406.199 23 14.7321 0.1031 -1.4551 0.6764 0.4883 -1.0542 "public"
"193" 75600007 0 2 2 5 0 -0.9295 0.7984 -0.7823 -0.5764 0.1597 1.0346 225 225 90 547.846 561.124 585.221 23 14.7321 0.1031 -1.4551 0.6764 0.4883 -1.0542 "public"
"194" 75600007 1 1 2 6 0 -0.13 1.1479 -0.7823 0.4777 -0.3673 0.6402 225 225 90 639.81 560.478 591.42 23 14.7321 0.1031 -1.4551 0.6764 0.4883 -1.0542 "public"
"196" 75600007 1 3 3 5 0 -0.13 -0.7504 1.1625 -0.5166 -0.406 -0.6576 300 300 100 612.187 413.085 448.922 23 14.7321 0.1031 -1.4551 0.6764 0.4883 -1.0542 "public"
"197" 75600007 0 2 2 6 0 0.176 0.1039 -0.7823 -0.2184 -0.013 -1.3914 225 225 180 618.613 565.333 572.908 23 14.7321 0.1031 -1.4551 0.6764 0.4883 -1.0542 "public"
"199" 75600007 0 2 2 6 0 -0.3799 -0.9956 -0.7823 -0.0296 0.6259 -1.1847 225 270 90 464.402 498.099 482.857 23 14.7321 0.1031 -1.4551 0.6764 0.4883 -1.0542 "public"
