"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "fear_failure" "belonging" "bullied" "ESCS_status" "teacher_support" "emo_sup" "learn_time_math" "learn_time_read" "learn_time_scie" "math" "read" "scie" "class_size" "short_edu_mat" "short_edu_staff" "stu_behav" "teach_behav" "private"
"136" 4000005 0 1 0 3 0 -1.8939 -0.3611 0.2907 -0.0614 -2.0248 -1.5824 100 150 300 469.008 454.806 453.833 23 -1.4212 -0.2792 0.3894 0.5672 "missing"
"137" 4000005 0 1 0 4 0 1.8905 -0.4509 0.2907 0.3608 1.314 -1.1817 100 150 150 560.853 597.503 550.482 23 -1.4212 -0.2792 0.3894 0.5672 "missing"
"138" 4000005 0 1 0 6 0 0.4637 2.7249 -0.7823 0.3849 -2.1007 -0.6576 100 150 250 437.482 532.854 443.656 23 -1.4212 -0.2792 0.3894 0.5672 "missing"
"139" 4000005 0 1 0 3 0 -1.4869 1.4685 -0.7823 -0.2553 -0.5575 1.0346 100 150 100 610.324 704.619 654.596 23 -1.4212 -0.2792 0.3894 0.5672 "missing"
"140" 4000005 0 1 0 4 0 0.9606 -1.373 -0.7823 -0.4243 0.039 -1.5824 100 150 100 445.053 478.48 457.138 23 -1.4212 -0.2792 0.3894 0.5672 "missing"
"141" 4000005 1 1 0 3 0 -0.13 1.4326 0.2907 -0.3845 -1.0955 1.0346 100 150 100 570.737 543.696 593.501 23 -1.4212 -0.2792 0.3894 0.5672 "missing"
"142" 4000005 0 1 0 4 0 0.4637 0.3018 -0.7823 -0.7251 -0.8998 -1.3939 100 150 100 433.17 501.256 451.93 23 -1.4212 -0.2792 0.3894 0.5672 "missing"
"143" 4000006 1 1 0 5 0 1.8905 0.1507 -0.7823 0.0516 -1.4166 1.0346 150 250 250 460.8 313.181 407.68 18 -1.4212 -0.7727 -0.335 -0.5205 "missing"
"144" 4000006 0 1 0 4 0 -1.1597 0.4829 -0.7823 0.3327 -0.9422 1.0346 150 150 550 565.912 542.547 540.462 18 -1.4212 -0.7727 -0.335 -0.5205 "missing"
"145" 4000006 1 1 0 6 0 1.8905 0.0334 -0.7823 -0.1823 -0.2023 -1.3914 200 200 0 596.898 622.832 660.922 18 -1.4212 -0.7727 -0.335 -0.5205 "missing"
"146" 4000006 1 1 0 5 0 -0.4342 0.3057 -0.7823 0.652 -0.8998 0.5029 150 150 400 680.117 589.072 650.271 18 -1.4212 -0.7727 -0.335 -0.5205 "missing"
"147" 4000006 1 1 0 5 0 -1.8939 0.0672 0.2907 0.479 -0.5197 0.0116 150 150 300 583.271 565.022 610.176 18 -1.4212 -0.7727 -0.335 -0.5205 "missing"
"148" 4000006 1 1 0 6 0 -0.2006 -0.2337 2.5101 0.9433 -1.3119 0.3657 200 150 100 695.105 546.157 600.684 18 -1.4212 -0.7727 -0.335 -0.5205 "missing"
"151" 4000006 0 1 0 6 0 0.8207 0.9423 0.2907 0.6537 0.039 1.0346 200 150 100 544.084 551.571 593.483 18 -1.4212 -0.7727 -0.335 -0.5205 "missing"
"152" 4000006 1 1 0 6 1 -0.2459 1.4326 0.2308 1.7892 -1.555 -2.4468 200 150 200 586.577 506.715 584.775 18 -1.4212 -0.7727 -0.335 -0.5205 "missing"
"154" 4000006 0 1 0 6 0 1.4083 0.0498 -0.7823 0.8951 -1.7418 0.6364 200 150 100 436.116 383.209 387.677 18 -1.4212 -0.7727 -0.335 -0.5205 "missing"
"157" 4000006 1 1 0 6 1 0.4637 0.2202 0.2308 0.7219 -1.7949 -2.0851 150 200 400 583.689 472.513 504.456 18 -1.4212 -0.7727 -0.335 -0.5205 "missing"
"158" 4000006 1 1 0 5 0 -1.8939 -0.2037 -0.7823 -0.0052 -0.5575 -2.4468 150 150 350 643.695 542.629 657.838 18 -1.4212 -0.7727 -0.335 -0.5205 "missing"
"163" 4000006 0 1 0 4 0 -0.4342 -0.7724 -0.7823 -0.4106 -0.7769 0.2169 200 200 300 543.038 400.917 494.448 18 -1.4212 -0.7727 -0.335 -0.5205 "missing"
